country,region,polyarchy,clientelism,corruption,womens_emp,gdp_pc,inf_mort,life_exp,education
Taiwan,Asia,0.7965,0.298,0.3209090909090909,0.8909545454545454,41.67455,5.833333333333333,79.2,NA
Argentina,Latin America,0.7961818181818182,0.42586363636363633,0.44872727272727275,0.8697727272727273,15.322799999999999,14.30625,75.64090909090909,8.67
Malta,The West,0.7926363636363637,0.23827272727272727,0.20477272727272727,0.8394545454545455,28.8431,5.85625,81.0090909090909,NA
Croatia,Eastern Europe,0.7843636363636364,0.22622727272727272,0.35318181818181815,0.9141363636363636,19.49545,5.2437499999999995,76.86363636363636,NA
Jamaica,Latin America,0.7782727272727272,0.5430909090909091,0.17563636363636365,0.8984545454545455,7.11495,16.1625,76.15,8.98
Suriname,Latin America,0.7777727272727273,0.5102272727272728,0.27645454545454545,0.8481363636363636,10.78365,24.1125,71.72727272727272,NA
Barbados,Latin America,0.7772727272727273,0.26645454545454544,0.12327272727272727,0.8780454545454546,17.91325,14.08125,75.88636363636364,9.549727272727273
Peru,Latin America,0.7702272727272728,0.5558636363636363,0.6098181818181818,0.7908636363636364,8.34995,19.55,77.96818181818182,8.737499999999999
Cape Verde,Africa,0.7676818181818182,0.26845454545454545,0.1837272727272727,0.8007272727272727,5.3576,23.60625,73.29545454545455,NA
Trinidad and Tobago,Latin America,0.7646818181818182,0.32831818181818184,0.1388181818181818,0.8919090909090909,27.4331,22.225,73.4090909090909,9.504318181818181
South Africa,Africa,0.76,0.36072727272727273,0.4274090909090909,0.8751363636363636,10.7561,45.20625,58.32727272727273,7.77
Mauritius,Africa,0.7525454545454545,0.3975909090909091,0.4875909090909091,0.7888181818181818,18.91345,13.65,74.22272727272727,7.679181818181818
Panama,Latin America,0.7470454545454546,0.6817727272727273,0.5615454545454546,0.7984545454545454,16.5718,18.224999999999998,78.69090909090909,8.9525
Israel,Middle East,0.746,0.1265,0.13290909090909092,0.8833636363636364,33.16595,4.175,81.4,10.660727272727271
Ghana,Africa,0.734,0.5138636363636364,0.6408636363636364,0.8259090909090909,4.01425,53.54375,62.50454545454546,5.53
Hungary,Eastern Europe,0.7259545454545454,0.3923181818181818,0.3906818181818182,0.8626363636363636,20.089199999999998,6.75625,74.67727272727272,11.08
Botswana,Africa,0.6994545454545454,0.19272727272727272,0.15354545454545454,0.7454090909090909,12.45075,43.7125,55.38636363636363,9.694727272727272
Senegal,Africa,0.6987272727272726,0.5075909090909091,0.3527727272727273,0.8205,2.6239,52.6625,65.30454545454546,2.8850000000000002
Bulgaria,Eastern Europe,0.6851818181818182,0.42686363636363633,0.4415909090909091,0.9268636363636363,14.61895,12.825,72.14090909090909,11.115
Vanuatu,Asia,0.6818636363636363,0.48163636363636364,0.4465,0.6726363636363636,3.1247,23.61875,64.49090909090908,NA
Indonesia,Asia,0.6761818181818181,0.5458181818181819,0.7656818181818182,0.7108636363636364,7.39295,30.9375,69.38636363636364,NA
Sao Tome and Principe,Africa,0.6751363636363636,0.48059090909090907,0.30468181818181816,0.8214090909090909,2.7636,44.575,68.55,NA
Bolivia,Latin America,0.6742727272727272,0.36722727272727274,0.6915454545454546,0.7484545454545455,4.58495,42.60625,69.99545454545455,8.122727272727273
Mongolia,Eastern Europe,0.6735909090909091,0.42009090909090907,0.6013181818181818,0.8411363636363636,6.2165,31.0625,65.22727272727272,NA
Namibia,Africa,0.6735909090909091,0.28363636363636363,0.21054545454545456,0.8275,8.1756,41.5375,59.74090909090909,6.067818181818182
Romania,Eastern Europe,0.6681363636363636,0.4637727272727273,0.5922272727272727,0.8434999999999999,13.4821,15.58125,73.76818181818182,10.214681818181818
Mexico,Latin America,0.6574090909090909,0.41554545454545455,0.6352727272727272,0.7493636363636363,15.04785,15.8125,75.15454545454546,8.3675
India,Asia,0.6511818181818182,0.4982727272727273,0.46004545454545454,0.6860454545454545,4.51035,51.34375,67.39545454545454,4.7575
Ecuador,Latin America,0.6424545454545454,0.5063636363636363,0.6375454545454545,0.8310454545454545,8.783,22.96875,74.82727272727273,8.4365
Colombia,Latin America,0.6181363636363637,0.696590909090909,0.48209090909090907,0.7516363636363637,11.1169,17.20625,77.77727272727273,7.4420909090909095
Benin,Africa,0.6150454545454546,0.5038181818181818,0.5349090909090909,0.8554999999999999,2.25175,75.5625,61.06363636363636,2.75
Guyana,Latin America,0.6029545454545454,0.4844090909090909,0.5263636363636364,0.8652727272727273,8.12955,34.2125,65.63181818181818,8.784045454545454
Bosnia and Herzegovina,Eastern Europe,0.5971363636363637,0.8165454545454546,0.7045454545454545,0.8252272727272727,8.8295,6.64375,76.1,NA
Dominican Republic,Latin America,0.5954090909090909,0.8434090909090909,0.8131363636363637,0.821,11.1441,29.14375,72.98181818181818,6.4825
Burkina Faso,Africa,0.5949090909090909,0.6812727272727273,0.42563636363636365,0.7504545454545455,1.7697,78.14375,57.78636363636364,1.2920454545454545
El Salvador,Latin America,0.5929090909090909,0.4622727272727273,0.7064090909090909,0.7171818181818181,4.5365,19.50625,74.42272727272727,5.7575
Paraguay,Latin America,0.5900909090909091,0.7474545454545455,0.8072272727272727,0.698,7.3059,22.2625,76.02272727272727,6.970000000000001
Timor-Leste,Asia,0.5895454545454546,0.4365,0.30252380952380953,0.747,2.87905,61.88125,69.11818181818182,NA
Guatemala,Latin America,0.5783181818181818,0.7275,0.7709545454545454,0.6675909090909091,6.1442499999999995,31.26875,70.24545454545455,5.355
Lesotho,Africa,0.5681818181818181,0.4960909090909091,0.5509999999999999,0.7885454545454545,2.617,80.3125,47.94090909090909,6.2735
Moldova,Eastern Europe,0.561,0.5181363636363636,0.7401363636363636,0.8655909090909091,5.136,17.01875,71.22272727272727,9.905000000000001
Georgia,Eastern Europe,0.5608636363636363,0.4127727272727273,0.26286363636363635,0.8211818181818182,8.15935,19.14375,72.1,10.844454545454544
Niger,Africa,0.5495909090909091,0.4536818181818182,0.5767727272727272,0.7069545454545454,1.0151,75.80625,58.38636363636364,1.24
