event_id,date,gov_deaths,rebel_deaths,civilian_deaths,deaths,where_coordinates,geometry
424773,2021-05-10T00:00:00Z,0,0,0,5,Al-Ḩudaydah town,"c(42.954516, 14.797812)"
402935,2021-05-11T00:00:00Z,0,0,1,1,Makhlaq village,"c(45.3075, 14.609444)"
402005,2021-05-12T00:00:00Z,3,0,0,3,Jabal al Khashar mountain,"c(45.207044, 15.513651)"
402002,2021-05-13T00:00:00Z,3,9,0,12,Camp Mattar al-Qadim,"c(43.958131, 13.597618)"
402883,2021-05-16T00:00:00Z,0,0,1,1,At Taif village,"c(43.01051, 14.56589)"
402886,2021-05-17T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
402888,2021-05-17T00:00:00Z,0,0,2,2,Al Munabbar Malaḩiţah village,"c(43.69741, 13.67695)"
402889,2021-05-17T00:00:00Z,0,0,1,1,Tabashiah village,"c(44.09091, 13.544459)"
402932,2021-05-18T00:00:00Z,0,0,1,1,Jabal Marrān,"c(43.383333, 16.798056)"
424772,2021-05-19T00:00:00Z,3,0,0,8,Hays town,"c(43.483099, 13.931702)"
402938,2021-05-21T00:00:00Z,0,0,3,3,Wādī Liyah village,"c(43.33056, 16.78935)"
402940,2021-05-23T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
402945,2021-05-23T00:00:00Z,0,0,3,3,Hays town,"c(43.483099, 13.931702)"
402994,2021-05-24T00:00:00Z,0,0,1,1,Dammāj town,"c(43.80433, 16.891984)"
424779,2021-05-26T00:00:00Z,2,0,0,2,Mas Camp,"c(44.903056, 15.687222)"
424780,2021-05-26T00:00:00Z,2,0,0,2,Wādī ‘Ār valley,"c(43.71807, 17.30238)"
424781,2021-05-26T00:00:00Z,2,0,0,2,Mashjah area,"c(45.08406, 15.465293)"
403017,2021-05-27T00:00:00Z,0,0,3,3,Ar Raqw village,"c(43.202825, 17.255265)"
403018,2021-05-28T00:00:00Z,0,0,3,3,Ar Raqw village,"c(43.202825, 17.255265)"
403027,2021-05-31T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
403030,2021-06-01T00:00:00Z,0,0,3,3,Ar Raqw village,"c(43.202825, 17.255265)"
404869,2021-06-04T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
404843,2021-06-05T00:00:00Z,0,0,1,1,Nukhaylah village,"c(43.000459, 14.601322)"
402040,2021-06-05T00:00:00Z,0,0,21,21,Marib town,"c(45.325301, 15.460977)"
404850,2021-06-06T00:00:00Z,0,0,1,1,Al-Ḩudaydah town,"c(42.954516, 14.797812)"
404852,2021-06-07T00:00:00Z,0,0,3,3,Irfaf village,"c(44.66734, 14.01234)"
404859,2021-06-07T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
404862,2021-06-10T00:00:00Z,0,10,4,14,Marib town,"c(45.325301, 15.460977)"
404872,2021-06-10T00:00:00Z,0,0,1,1,Al Umm Shaykh area,"c(43.21884, 17.10076)"
404877,2021-06-13T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
404882,2021-06-14T00:00:00Z,0,0,1,1,Al Musaymīr town,"c(44.61528, 13.44389)"
424778,2021-06-14T00:00:00Z,2,0,0,2,Jabal al Khashar mountain,"c(45.207044, 15.513651)"
424777,2021-06-15T00:00:00Z,9,0,0,9,Ghudū village,"c(45.00368, 15.49571)"
404883,2021-06-15T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
404890,2021-06-17T00:00:00Z,0,0,1,1,Marib town,"c(45.325301, 15.460977)"
404891,2021-06-17T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
405503,2021-06-18T00:00:00Z,9,0,0,9,Mashjah area,"c(45.08406, 15.465293)"
405504,2021-06-18T00:00:00Z,10,0,0,10,Kassara checkpoint,"c(45.126389, 15.544167)"
405506,2021-06-19T00:00:00Z,31,16,0,47,Marib town,"c(45.325301, 15.460977)"
405462,2021-06-19T00:00:00Z,0,4,0,4,Al Wadiah border post,"c(47.012774, 16.936093)"
404894,2021-06-19T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
412929,2021-06-20T00:00:00Z,30,11,0,41,Kassara checkpoint,"c(45.126389, 15.544167)"
404897,2021-06-20T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
405507,2021-06-21T00:00:00Z,60,24,0,84,Marib town,"c(45.325301, 15.460977)"
405510,2021-06-22T00:00:00Z,15,3,0,18,Jufra base,"c(44.794281, 15.741253)"
405511,2021-06-22T00:00:00Z,15,3,0,18,Wadi Halhalan area,"c(45, 15.81667)"
404901,2021-06-22T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
424663,2021-06-22T00:00:00Z,3,3,0,6,Mashjah area,"c(45.08406, 15.465293)"
424664,2021-06-23T00:00:00Z,2,0,0,2,Mas Camp,"c(44.903056, 15.687222)"
424666,2021-06-23T00:00:00Z,16,0,0,16,Jadafir front,"c(45.1987, 15.901)"
405021,2021-06-23T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
405022,2021-06-26T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
405024,2021-06-27T00:00:00Z,0,0,1,1,Border between Shadā’ district and Saudi Arabia,"c(43.1473, 16.9254)"
405026,2021-06-27T00:00:00Z,0,0,0,0,Ta'izz town,"c(44.020908, 13.579522)"
405536,2021-06-27T00:00:00Z,24,0,0,24,Kassara checkpoint,"c(45.126389, 15.544167)"
405631,2021-06-28T00:00:00Z,2,0,0,2,Mashjah area,"c(45.08406, 15.465293)"
405632,2021-06-28T00:00:00Z,1,0,0,1,Wadi Halhalan area,"c(45, 15.81667)"
405634,2021-06-28T00:00:00Z,2,0,0,2,Al-Nudud area,"c(44.81002, 16.64968)"
405030,2021-06-29T00:00:00Z,0,0,3,3,Marib town,"c(45.325301, 15.460977)"
405033,2021-06-29T00:00:00Z,0,0,1,1,Banī Makkī village,"c(42.90827, 16.23767)"
410657,2021-07-01T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
410855,2021-07-01T00:00:00Z,0,0,0,0,Ta'izz town,"c(44.020908, 13.579522)"
410856,2021-07-03T00:00:00Z,0,0,1,1,Border between Shadā’ district and Saudi Arabia,"c(43.1473, 16.9254)"
405604,2021-07-04T00:00:00Z,2,0,0,2,Qirbah village,"c(45.433333, 13.983333)"
